"","CODIGO","DISTRITO","DEPARTAMENTO","MUNICIPIO","ESTABLECIMIENTO","DIRECCION","TELEFONO","SUPERVISOR","DIRECTOR","NIVEL","SECTOR","AREA","STATUS","MODALIDAD","JORNADA","PLAN","DEPARTAMENTAL","CODIGO_DEPARTAMENTO"
"13","16-01-0471-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO DE INFORMATICA CENINFAV","12 AV. 2-12 ZONA 1","79545566","GLENDA DINORA GARCIA DELGADO","MARIA MAGDALENA BOL CU","DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"14","16-01-0478-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO EVANGELICO LA PATRIA","FINCA CHIMAXITO ZONA 11","79514440","GLENDA DINORA GARCIA DELGADO","ELIGIO PASTOR GARCÍA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"15","16-01-0481-46","16-031","ALTA VERAPAZ","COBAN","LICEO AMERICANO DEL NORTE","5TA. CALLE 2-23 ZONA 4","79514754","GLENDA DINORA GARCIA DELGADO","JOSE CUPERTINO REYES GARCIA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"16","16-01-0483-46","16-031","ALTA VERAPAZ","COBAN","LICEO AMERICANO DEL NORTE","5TA. CALLE 2-23 ZONA 4","79514754","GLENDA DINORA GARCIA DELGADO","JOSE CUPERTINO REYES GARCIA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"17","16-01-0557-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO LA LIBERTAD","3RA. AVENIDA 5-12 ZONA 4","79523696","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"18","16-01-0558-46","16-005","ALTA VERAPAZ","COBAN","INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE","3A. AVE. 6-23 ZONA 11","79521468","MARITZA SOEHY MORALES SURUY",NA,"DIVERSIFICADO","OFICIAL","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"19","16-01-0559-46","16-005","ALTA VERAPAZ","COBAN","INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE","3A. AVE. 6-23 ZONA 11","79521468","MARITZA SOEHY MORALES SURUY",NA,"DIVERSIFICADO","OFICIAL","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"20","16-01-0563-46","16-031","ALTA VERAPAZ","COBAN","CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG","ALDEA LAS CONCHAS","79522793","GLENDA DINORA GARCIA DELGADO","CARLOS OXOM","DIVERSIFICADO","PRIVADO","RURAL","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"21","16-01-0565-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO","3A. AVENIDA 16-16 ZONA 11, BARRIO LA LIBERTAD","44042550","GLENDA DINORA GARCIA DELGADO","HENRI MARCO TULIO ARTOLA TEYUL","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"22","16-01-0568-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO PRIVADO RAUL CHENAL HEINEMANN","5A. CALLE 1-06 ZONA 3","79510413","GLENDA DINORA GARCIA DELGADO","ASTRID YADIRA MARROQUIN MOLINA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","NOCTURNA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"23","16-01-0570-46","16-031","ALTA VERAPAZ","COBAN","LICEO MIGUEL ANGEL ASTURIAS","7A. CALLE 1-13 ZONA 3","79511103","GLENDA DINORA GARCIA DELGADO","WALDEMAR PEREZ OXOM","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"24","16-01-0572-46","16-031","ALTA VERAPAZ","COBAN","LICEO MIGUEL ANGEL ASTURIAS","7A. CALLE 1-13 ZONA 3","79511103","GLENDA DINORA GARCIA DELGADO","WALDEMAR PEREZ OXOM","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"25","16-01-0573-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO CRISTIANO BILINGUE VERBO","4A. CALLE A 4-32 ZONA 8","77945181","GLENDA DINORA GARCIA DELGADO","ALICIA WINTER CAAL DE ENRIQUEZ","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"26","16-01-0574-46","16-005","ALTA VERAPAZ","COBAN","ESCUELA NACIONAL DE CIENCIAS COMERCIALES","2A. CALLE 11-10 ZONA 2","47177563","MARITZA SOEHY MORALES SURUY",NA,"DIVERSIFICADO","OFICIAL","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"27","16-01-0583-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO NUEVOS SENDEROS","3A. CALLE 3-74, ZONA 3","79417300","GLENDA DINORA GARCIA DELGADO","ZOYLA ARGENTINA MOLLINEDO ALVARADO","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"28","16-01-0604-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO PRIVADO RAUL CHENAL HEINEMANN","5A. CALLE 1-06, ZONA 3","79510413","GLENDA DINORA GARCIA DELGADO","ASTRID YADIRA MARROQUIN MOLINA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"29","16-01-0609-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-","LOTIFICACION CHIVENCORRAL","30367501","GLENDA DINORA GARCIA DELGADO","JUAN PASCUAL FRANCISCO LUCAS ANTONIO","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"30","16-01-0611-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO HISPANOAMERICANO","1A CALLE 17-41 COMUNIDAD PETET CHIXIC, ZONA 12","74725125","GLENDA DINORA GARCIA DELGADO","EDWIN ISMAEL CAAL CÚ","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"31","16-01-0612-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER","CALZADA RABIN AJAU, ZONA 1","51609883","GLENDA DINORA GARCIA DELGADO","FELIPE CHO TUT","DIVERSIFICADO","PRIVADO","RURAL","1","BILINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"32","16-01-0613-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS","3AV. 1-23 ZONA 4","79500597","GLENDA DINORA GARCIA DELGADO","MARGARITA VILLALOBOS LIGORRIA DE MENDOZA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"33","16-01-0616-46","16-037","ALTA VERAPAZ","COBAN","INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA","ALDEA SALACUIM","57655184","JUVENTINA ALVARADO PEREZ",NA,"DIVERSIFICADO","OFICIAL","RURAL","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"34","16-01-0619-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS","3A. AV. 1-23, ZONA 4","79513444","GLENDA DINORA GARCIA DELGADO","MARGARITA VILLALOBOS LIGORRIA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"35","16-01-0642-46","16-005","ALTA VERAPAZ","COBAN","INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA","ALDEA CHOVAL","40071908","MARITZA SOEHY MORALES SURUY",NA,"DIVERSIFICADO","OFICIAL","RURAL","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"36","16-01-0646-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO","4A. CALLE 6-92 ZONA 11","44042550","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"37","16-01-0651-46","16-031","ALTA VERAPAZ","COBAN","CENTRO DE FORMACIÓN INTEGRAL CIUDAD DE LA ESPERANZA","6A. AV. 10-68 ZONA 12 COLONIA EL ESFUERZO I","77367652","GLENDA DINORA GARCIA DELGADO","SILVIA ANABELLA RIVERA GARCA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"38","16-01-0652-46","16-037","ALTA VERAPAZ","COBAN","INSTITUTO MAYA COMUNITARIO K AMOLB E","ALDEA NIMLAJACOC","49203582","JUVENTINA ALVARADO PEREZ","JOSE MARIA CHOC","DIVERSIFICADO","PRIVADO","RURAL","1","BILINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"39","16-01-0664-46","16-031","ALTA VERAPAZ","COBAN","LICEO AMERICANO DEL NORTE","5TA. AVENIDA 2-23 ZONA 4","79514754","GLENDA DINORA GARCIA DELGADO","JOSE CUPERTINO REYES GARCIA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"40","16-01-0665-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO DE INFORMÁTICA CENINFAV","12 AVENIDA 2-12 ZONA 1","79545566","GLENDA DINORA GARCIA DELGADO","MARIA MAGDALENA BOL CU","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"41","16-01-0666-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO DE INFORMÁTICA CENINFAV","12 AVENIDA 2-12 ZONA 1","79521765","GLENDA DINORA GARCIA DELGADO","HECTOR VIDAL BOL CU","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"42","16-01-0668-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PARTICULAR MIXTO IMPERIAL","5A CALLE 1-98, ZONA 3","57101061","GLENDA DINORA GARCIA DELGADO","JUAN JOSÉ LUTHER MEJICANOS","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"43","16-01-0671-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA","2A. CALLE 12-23 ZONA 4","79521190","GLENDA DINORA GARCIA DELGADO","JORGE SALVADOR JUAREZ SIERRA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"44","16-01-0672-46","16-031","ALTA VERAPAZ","COBAN","ICA","11AVENIDA 1-10 ZONA 1","77283890","GLENDA DINORA GARCIA DELGADO","HAMILTON OTTONIEL LÓPEZ RAMÍREZ","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"45","16-01-0678-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO LA LIBERTAD","3A. AVENIDA CINCO GUION DOCE (5-12)","48979726","GLENDA DINORA GARCIA DELGADO","PABLO RIGOBERTO DE LA CRUZ CABALLEROS","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"46","16-01-0681-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO MIXTO PRIVADO SANTO DOMINGO","2A. CALLE 11-10, ZONA 2","79529830","GLENDA DINORA GARCIA DELGADO","AMERICA NUILA LUTHER","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"47","16-01-1172-46","16-006","ALTA VERAPAZ","COBAN","COLEGIO PARTICULAR MIXTO CARLOS V","6A. CALLE 2-06 ZONA 8 PERIFERICO SUR COBAN",NA,"ARMANDO AUDILIO POP CUCUL",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","FIN DE SEMANA","ALTA VERAPAZ","1"
"48","16-01-1173-46","16-006","ALTA VERAPAZ","COBAN","COLEGIO PARTICULAR MIXTO CARLOS V","6A. CALLE 2-06 ZONA 8 PERIFERICO SUR COBAN",NA,"ARMANDO AUDILIO POP CUCUL",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"49","16-01-1174-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO PRIVADO RAUL CHENAL HEINEMANN","5A. CALLE 1-06 ZONA 3","79510413","GLENDA DINORA GARCIA DELGADO","ASTRID YADIRA MARROQUIN MOLINA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"50","16-01-1175-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO PRIVADO RAUL CHENAL HEINEMANN","5TA. CALLE 1-06 ZONA 3","79520414","GLENDA DINORA GARCIA DELGADO","ASTRID YADIRA MARROQUIN MOLINA","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"51","16-01-1176-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO MIXTO PRIVADO SANTO DOMINGO","2A. CALLE 11-10 ZONA 2","79529830","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","VESPERTINA","SABATINO","ALTA VERAPAZ","1"
"52","16-01-1177-46","16-006","ALTA VERAPAZ","COBAN","INSTITUTO PRIVADO MIXTO SANTO DOMINGO","2A. CALLE 11-10 ZONA 2","77231494","ARMANDO AUDILIO POP CUCUL",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","SABATINO","ALTA VERAPAZ","1"
"53","16-01-1259-46","16-006","ALTA VERAPAZ","COBAN","INSTITUTO DE TURISMO Y AVIACION DEL NORTE ITAN","3A. AVENIDA 5-28 ZONA 4","58633599","ARMANDO AUDILIO POP CUCUL",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"54","16-01-1312-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA","2A. CALLE 12-23 ZONA 4","79511459","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","VESPERTINA","FIN DE SEMANA","ALTA VERAPAZ","1"
"55","16-01-1313-46","16-006","ALTA VERAPAZ","COBAN","COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA","2A. CALLE 12-23 ZONA 4","79511459","ARMANDO AUDILIO POP CUCUL",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","NOCTURNA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"56","16-01-1390-46","16-031","ALTA VERAPAZ","COBAN","LICEO MIGUEL ANGEL ASTURIAS","7A. CALLE 1-13 ZONA 3","79511103","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","FIN DE SEMANA","ALTA VERAPAZ","1"
"57","16-01-1393-46","16-031","ALTA VERAPAZ","COBAN","LICEO PREUNIVERSITARIO DEL NORTE","2A. CALLE 6-41 ZONA 4","79417346","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","VESPERTINA","FIN DE SEMANA","ALTA VERAPAZ","1"
"58","16-01-1394-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO PRIVADO MIXTO MONJA BLANCA","3RA. AV. 2-12 ZONA 1","79513896","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"59","16-01-1401-46","16-006","ALTA VERAPAZ","COBAN","COOPERACION MESOAMERICANA PARA EL DESARROLLO Y LA PAZ -COMADEP-","COBAN","52182313","ARMANDO AUDILIO POP CUCUL",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","DOBLE","A DISTANCIA","ALTA VERAPAZ","1"
"60","16-01-1468-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO NUESTRA SEÑORA DE LA ESPERANZA","COLONIA EL ESFUERZO I ZONA 12","79510207","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"61","16-01-1469-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA","2A. CALLE 12-23 ZONA 4","79511459","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
"62","16-01-1491-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO LA LIBERTAD","BARRIO LA LIBERTAD ZONA 10","79511439","GLENDA DINORA GARCIA DELGADO","PABLO RIGOBERTO DE LA CRUZ CABALLEROS","DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"63","16-01-2156-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PARTICULAR MIXTO IMPERIAL","5A. CALLE 1-98 ZONA 3","57101061","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"64","16-01-2171-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO MIXTO NUEVOS HORIZONTES","6A. AVENIDA 1-15, ZONA 4",NA,"GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","FIN DE SEMANA","ALTA VERAPAZ","1"
"65","16-01-2302-46","16-031","ALTA VERAPAZ","COBAN","INSTITUTO PRIVADO MIXTO MONJA BLANCA","2A. CALLE 10-11 ZONA 2","79513896","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","SABATINO","ALTA VERAPAZ","1"
"66","16-01-2947-46",NA,"ALTA VERAPAZ","COBAN","INSTITUTO PRIVADO BASICO Y BACHILLERATO POR MADUREZ 'CARLOS V'","5A. CALLE 1-98 ZONA 3",NA,NA,NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"67","16-01-3041-46","16-005","ALTA VERAPAZ","COBAN","INSTITUTO DE BACHILLERATO ADS. AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE","3AVENIDA 6-23 ZONA 11","79521468","MARITZA SOEHY MORALES SURUY","GUSTAVO ADOLFO SIERRA POP","DIVERSIFICADO","OFICIAL","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"68","16-01-6190-46","16-031","ALTA VERAPAZ","COBAN","LICEO MIGUEL ANGEL ASTURIAS","7A. CALLE 1-13 ZONA 3","79511103","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","VESPERTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"69","16-01-6191-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMATICA","2A. CALLE 12-23 ZONA 4","79511459","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"70","16-01-7308-46","16-031","ALTA VERAPAZ","COBAN","COLEGIO PARTICULAR MIXTO IMPERIAL","5A. CALLE 1-98, ZONA 3.","79514226","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA",NA,"MONOLINGUE","NOCTURNA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"71","16-01-8294-46","16-031","ALTA VERAPAZ","COBAN","LICEO PREUNIVERSITARIO DEL NORTE","3A. AVENIDA 8-32 BARRIO LA LIBERTAD ZONA 10","79417346","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"72","16-01-8317-46","16-031","ALTA VERAPAZ","COBAN","LICEO DE COMPUTACION Y EDUCACION PARA EL HOGAR M.B.M.","3AV. 1-23 ZONA 4","79513444","GLENDA DINORA GARCIA DELGADO","MATILDE OCH CACAO","DIVERSIFICADO","PRIVADO","RURAL",NA,"MONOLINGUE","MATUTINA","DIARIO(REGULAR)","ALTA VERAPAZ","1"
"73","16-01-8331-46","16-031","ALTA VERAPAZ","COBAN","LICEO PREUNIVERSITARIO DEL NORTE","3A. AVENIDA 8-32 BARRIO LA LIBERTAD ZONA 10","79417346","GLENDA DINORA GARCIA DELGADO",NA,"DIVERSIFICADO","PRIVADO","URBANA","1","MONOLINGUE","DOBLE","FIN DE SEMANA","ALTA VERAPAZ","1"
